"","grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"1","League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",55,2,0.036,3
"2","League Averages","Above the Break 3","Center(C)","24+ ft.",9724,3289,0.338,3
"3","League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",15408,5259,0.341,3
"4","League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",15148,5194,0.343,3
"5","League Averages","Backcourt","Back Court(BC)","Back Court Shot",427,11,0.026,3
"6","League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6599,2771,0.42,2
"7","League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",20196,7693,0.381,2
"8","League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1706,711,0.417,2
"9","League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2016,801,0.397,2
"10","League Averages","Left Corner 3","Left Side(L)","24+ ft.",7374,2801,0.38,3
"11","League Averages","Mid-Range","Center(C)","16-24 ft.",7850,3130,0.399,2
"12","League Averages","Mid-Range","Center(C)","8-16 ft.",1963,847,0.431,2
"13","League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8034,3153,0.392,2
"14","League Averages","Mid-Range","Left Side(L)","16-24 ft.",5818,2282,0.392,2
"15","League Averages","Mid-Range","Left Side(L)","8-16 ft.",8257,3239,0.392,2
"16","League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",8914,3454,0.387,2
"17","League Averages","Mid-Range","Right Side(R)","16-24 ft.",5345,2162,0.404,2
"18","League Averages","Mid-Range","Right Side(R)","8-16 ft.",7595,3007,0.396,2
"19","League Averages","Restricted Area","Center(C)","Less Than 8 ft.",66134,39735,0.601,2
"20","League Averages","Right Corner 3","Right Side(R)","24+ ft.",6987,2738,0.392,3
